state,total_pop,age_under_18,age_18_24,age_25_44,age_45_64,age_65_plus,race_white,race_black,race_native,race_asian,race_pacific_islander,race_mixed,edu_child_under_15,edu_no_hs_diploma,edu_high_school,edu_some_college,edu_college_degree_plus,irp_below_50,irp_50_100,irp_100_300,irp_300_500,irp_500_plus
KS,2849,751,234,727,740,397,2454,164,38,85,0,108,594,358,559,671,668,139,265,965,697,782
KY,4365,1007,364,1168,1102,723,3831,344,9,73,10,98,816,696,1136,865,851,375,477,1563,988,962
LA,4599,1126,434,1193,1247,599,2869,1485,31,99,4,111,927,695,1142,1014,822,421,433,1615,1108,1022
ME,1340,253,94,322,395,275,1246,17,9,34,0,35,205,128,375,322,310,55,111,456,350,368
MD,5892,1371,503,1604,1638,777,3468,1805,73,338,11,198,1123,567,1258,1201,1744,212,354,1607,1265,2455
MA,6777,1363,666,1865,1851,1032,5582,561,13,476,7,138,1127,699,1407,1161,2383,370,412,1804,1391,2800
MI,9852,2146,983,2392,2675,1656,7879,1362,48,310,4,248,1793,968,2503,2464,2123,552,707,3145,2683,2765
MN,5458,1307,363,1541,1357,891,4719,337,125,183,5,89,1045,562,1021,1288,1542,195,233,1687,1475,1868
MS,2947,733,266,755,768,425,1702,1115,11,70,7,41,593,493,711,721,429,245,317,1310,567,508
MO,5946,1394,474,1593,1565,921,5005,695,20,98,2,126,1131,708,1446,1285,1376,276,306,1945,1718,1702
MT,1018,226,96,248,264,183,941,6,38,11,3,19,189,96,236,265,232,48,73,374,247,276
NE,1858,479,171,475,465,268,1660,92,24,38,1,44,387,237,363,434,436,91,101,633,549,484
NV,2864,670,247,800,734,413,2078,258,109,252,41,127,561,351,738,683,531,156,215,1207,698,588
NH,1293,266,133,288,398,207,1205,20,7,34,0,26,210,116,298,284,385,34,60,318,325,556
NJ,8936,1986,804,2320,2503,1323,6504,1292,31,951,17,142,1639,974,2080,1537,2706,389,615,2337,2106,3490
NM,2036,502,202,491,499,342,1589,52,317,29,3,45,400,315,455,486,380,208,192,787,468,380
NY,19645,4196,2000,5223,5080,3146,14002,3432,173,1615,75,348,3422,2625,4145,3861,5591,1240,1550,6038,4329,6487
NC,9887,2302,968,2402,2829,1386,7107,2131,217,235,14,184,1876,1332,2155,2292,2232,597,912,3602,2218,2558
ND,763,177,89,209,177,112,670,20,39,13,1,20,155,65,156,213,175,41,41,262,199,221
OH,11435,2617,1078,2802,3208,1730,9388,1452,35,259,10,292,2136,1278,3208,2512,2301,676,874,3878,3038,2970
OK,3887,952,348,1045,989,554,2879,284,379,85,18,241,788,497,1035,886,681,246,304,1589,872,876
OR,4029,875,356,1073,1110,615,3578,81,28,146,27,169,724,455,817,1061,971,229,249,1386,949,1216
PA,12564,2694,1225,3032,3444,2169,10234,1471,73,464,10,312,2154,1483,3528,2383,3015,653,889,3777,3129,4116
RI,1044,217,98,262,304,163,889,84,15,40,0,15,170,156,237,219,262,50,74,308,274,338
SC,4790,1082,410,1217,1287,793,3306,1307,24,91,2,60,906,666,1075,1115,1028,403,280,1857,1073,1177
SD,848,211,74,210,222,132,724,15,88,5,0,14,179,80,194,222,172,57,61,278,236,216
TN,6605,1463,568,1764,1757,1054,5196,1100,23,149,5,132,1221,902,1708,1382,1391,447,526,2576,1383,1672
TX,27396,7195,2809,7493,6553,3345,21755,3359,354,1382,56,490,6045,4317,5128,5910,5996,1917,2119,9794,6336,7230
UT,3004,914,295,911,558,327,2802,36,21,50,26,69,773,320,549,755,606,87,191,1149,858,718
VT,609,121,57,144,184,102,582,8,1,7,0,11,94,62,144,113,195,27,39,186,163,195
VA,8216,1866,675,2330,2157,1187,5857,1636,34,483,46,159,1527,1034,1613,1776,2266,496,398,2501,2127,2693
WA,7193,1644,599,2008,1784,1159,5750,285,208,556,54,339,1319,918,1372,1723,1861,356,464,2246,1735,2393
WV,1795,383,148,426,495,343,1684,60,6,7,0,38,310,269,604,325,288,108,152,745,411,379
WI,5736,1312,597,1301,1646,880,4950,363,124,167,3,131,1053,641,1451,1530,1061,329,325,1987,1473,1622
WY,574,144,58,139,149,84,540,8,10,3,0,14,117,56,141,151,110,29,27,181,167,170
