state,total_pop,age_under_18,age_18_24,age_25_44,age_45_64,age_65_plus,race_white,race_black,race_native,race_asian,race_pacific_islander,race_mixed,edu_child_under_15,edu_no_hs_diploma,edu_high_school,edu_some_college,edu_college_degree_plus,irp_below_50,irp_50_100,irp_100_300,irp_300_500,irp_500_plus
MD,5485,1403,472,1609,1365,636,3606,1502,18,251,6,103,1132,825,1289,913,1325,271,200,1591,1424,1998
MA,6357,1490,522,1973,1539,832,5621,431,11,252,0,41,1225,948,1439,1097,1647,298,355,1798,1633,2273
MI,9893,2497,952,2817,2447,1179,8042,1426,35,245,4,141,2042,1447,2551,2200,1653,531,594,3397,2681,2690
MN,5075,1239,499,1486,1337,514,4623,189,33,177,2,52,1017,540,1099,1272,1148,166,210,1513,1402,1784
MS,2851,757,308,794,672,321,1741,1044,8,29,2,26,624,501,741,602,383,193,263,1233,635,526
MO,5606,1388,519,1610,1293,795,4748,618,34,118,4,85,1145,793,1484,1096,1087,297,305,2047,1527,1431
MT,915,215,77,255,258,110,837,3,40,1,2,32,173,107,255,216,165,53,86,399,233,145
NE,1725,446,177,472,429,201,1568,73,20,31,1,32,354,218,420,447,284,75,94,636,480,441
NV,2242,586,193,680,525,258,1858,147,42,125,15,54,489,336,577,473,367,97,147,850,563,585
NH,1263,308,127,346,344,139,1212,12,1,21,0,17,249,160,285,267,303,29,44,358,370,461
NJ,8574,2152,766,2435,2204,1017,6714,1202,26,549,12,71,1792,1199,2127,1424,2033,366,375,2418,2065,3350
NM,1867,491,195,495,458,228,1542,41,221,27,3,32,419,325,408,410,306,133,205,796,375,358
NY,18922,4524,1890,5473,4613,2422,14187,3322,36,1127,18,232,3654,3072,4659,3455,4082,1182,1525,6445,4378,5392
NC,8223,2052,857,2339,2019,956,6035,1791,110,170,3,113,1733,1539,2002,1647,1301,548,741,3201,1888,1845
ND,631,146,71,169,166,79,583,5,27,4,1,11,118,84,158,162,109,25,36,253,195,121
OH,11227,2840,1024,3141,2943,1278,9560,1306,16,162,7,175,2287,1665,3203,2207,1865,543,683,3907,3154,2939
OK,3430,853,413,932,744,489,2671,255,191,43,4,266,716,544,863,790,517,190,250,1537,771,682
OR,3560,826,305,1087,903,438,3196,64,55,125,13,107,695,499,814,914,637,198,248,1333,918,863
PA,12135,2832,1030,3359,3037,1877,10603,1216,16,195,7,97,2301,1849,3883,1903,2198,453,826,4324,3009,3523
RI,1051,249,93,310,254,145,947,64,3,18,0,19,198,201,263,186,204,45,76,337,276,316
SC,4060,1022,402,1126,965,544,2771,1210,4,35,3,36,833,727,985,828,686,219,298,1578,949,1017
SD,749,194,95,179,174,106,663,7,62,6,1,10,156,113,181,175,123,47,48,299,205,150
TN,5901,1383,546,1742,1557,674,4779,959,14,87,0,62,1143,1031,1623,1107,996,281,548,2349,1525,1198
TX,21827,6300,2172,6530,4758,2069,18110,2453,87,690,27,460,5255,4498,4333,4319,3423,1397,2308,8610,4715,4798
UT,2346,760,295,655,455,182,2223,20,14,28,23,38,620,312,461,543,410,71,142,975,658,500
VT,610,137,56,164,172,81,589,4,2,4,0,12,107,78,163,113,149,21,31,217,174,167
VA,7367,1794,708,2151,1854,861,5486,1414,20,351,6,90,1476,996,1782,1423,1689,389,350,2050,2099,2478
WA,6078,1472,578,1775,1635,619,5104,212,141,323,23,275,1217,827,1261,1536,1237,353,414,1934,1454,1924
WV,1785,397,151,486,472,279,1698,51,2,10,0,23,318,348,610,309,200,123,187,764,441,269
WI,5412,1331,541,1524,1364,652,4890,309,45,114,12,43,1070,781,1445,1169,947,232,296,1865,1610,1409
WY,487,118,52,131,128,58,462,5,9,2,0,9,96,57,125,134,73,17,31,200,129,110
