No_Event,Event,Swimmers,School,Location,Date,TIME,PL,Against,House.name,Month,Spells,Times
3,200 MEDLEY RELAY,Mandy Brocklehurst,Hogwarts,Durmstrang,2019-12-08,00:00:00,DQ,Durmstrang,Ravenclaw,December,NA,0
3,200 MEDLEY RELAY,Michael Corner,Hogwarts,Durmstrang,2019-12-08,00:00:00,DQ,Durmstrang,Ravenclaw,December,NA,0
4,200 FREE,Stephen Cornfoot,Hogwarts,Durmstrang,2019-12-08,00:00:00,DQ,Durmstrang,Slytherin,December,NA,0
7,200 IM,Su Li,Hogwarts,Durmstrang,2019-12-08,00:00:00,DQ,Durmstrang,Ravenclaw,December,NA,0
13,100 FLY,Stewart Ackerley,Hogwarts,Durmstrang,2019-12-08,00:00:00,DQ,Durmstrang,Ravenclaw,December,NA,0
15,100 FLY,Eleanor Branstone,Hogwarts,Durmstrang,2019-12-08,00:00:00,DQ,Durmstrang,Hufflepuff,December,NA,0
19,500 FREE,Megan Jones,Hogwarts,Durmstrang,2019-12-08,00:00:00,DQ,Durmstrang,Hufflepuff,December,NA,0
21,500 FREE,Kevin Whitby,Hogwarts,Durmstrang,2019-12-08,00:00:00,DQ,Durmstrang,Hufflepuff,December,NA,0
24,100 BACK,Percy Weasley,Hogwarts,Durmstrang,2019-12-08,00:00:00,DQ,Durmstrang,Gryffindor,December,NA,0
9,200 IM,Narcissa Malfoy,Hogwarts,Hogwarts,2019-10-20,00:00:00,DQ,Beauxbatons,Slytherin,October,NA,0
27,100  BREAST,Victoria Frobisher,Hogwarts,Hogwarts,2019-10-20,00:00:00,DQ,Beauxbatons,Gryffindor,October,NA,0
1,200 MEDLEY RELAY,Cho Chang,Hogwarts,Ilvermorny,2019-11-17,00:00:00,DQ,Ilvermorny,Ravenclaw,November,NA,0
1,200 MEDLEY RELAY,Marietta Edgecombe,Hogwarts,Ilvermorny,2019-11-17,00:00:00,DQ,Ilvermorny,Ravenclaw,November,NA,0
1,200 MEDLEY RELAY,Mandy Brocklehurst,Hogwarts,Ilvermorny,2019-11-17,00:00:00,DQ,Ilvermorny,Ravenclaw,November,NA,0
1,200 MEDLEY RELAY,Michael Corner,Hogwarts,Ilvermorny,2019-11-17,00:00:00,DQ,Ilvermorny,Ravenclaw,November,NA,0
7,200 IM,Eleanor Branstone,Hogwarts,Ilvermorny,2019-11-17,00:00:00,DQ,Ilvermorny,Hufflepuff,November,NA,0
13,100 FLY,Kevin Whitby,Hogwarts,Ilvermorny,2019-11-17,00:00:00,DQ,Ilvermorny,Hufflepuff,November,NA,0
19,500 FREE,Daphne Greengrass,Hogwarts,Ilvermorny,2019-11-17,00:00:00,DQ,Ilvermorny,Slytherin,November,NA,0
14,100 FLY,Blaise Zabini,Hogwarts,Hogwarts,2019-11-22,00:00:00,DQ,Uagadou,Slytherin,November,NA,0
27,100  BREAST,Bertha Jorkins,Hogwarts,Mahoutokoro,2019-12-15,00:00:00,DQ,Mahoutokoro,Ravenclaw,December,NA,0
7,200 IM,Draco Malfoy,Hogwarts,Hogwarts,2019-10-19,00:00:00,DQ,Castelobruxo,Slytherin,October,NA,0
1,200 MEDLEY RELAY,Owen Cauldwell,Hogwarts,Durmstrang,2019-11-03,00:00:00,DQ,Durmstrang,Hufflepuff,November,NA,0
1,200 MEDLEY RELAY,Justin Finch-Fletchley,Hogwarts,Durmstrang,2019-11-03,00:00:00,DQ,Durmstrang,Hufflepuff,November,NA,0
1,200 MEDLEY RELAY,Wayne Hopkins,Hogwarts,Durmstrang,2019-11-03,00:00:00,DQ,Durmstrang,Hufflepuff,November,NA,0
1,200 MEDLEY RELAY,Megan Jones,Hogwarts,Durmstrang,2019-11-03,00:00:00,DQ,Durmstrang,Hufflepuff,November,NA,0
3,200 MEDLEY RELAY,Adrian Pucey,Hogwarts,Durmstrang,2019-11-03,00:00:00,DQ,Durmstrang,Slytherin,November,NA,0
3,200 MEDLEY RELAY,Tracey Davis,Hogwarts,Durmstrang,2019-11-03,00:00:00,DQ,Durmstrang,Slytherin,November,NA,0
3,200 MEDLEY RELAY,Lilian Moon,Hogwarts,Durmstrang,2019-11-03,00:00:00,DQ,Durmstrang,Hufflepuff,November,NA,0
3,200 MEDLEY RELAY,Daphne Greengrass,Hogwarts,Durmstrang,2019-11-03,00:00:00,DQ,Durmstrang,Slytherin,November,NA,0
1,200 MEDLEY RELAY,Parvati Patil,Hogwarts,Hogwarts,2019-12-15,00:00:00,DQ,Castelobruxo,Gryffindor,December,NA,0
1,200 MEDLEY RELAY,Dennis Creevey,Hogwarts,Hogwarts,2019-12-15,00:00:00,DQ,Castelobruxo,Gryffindor,December,NA,0
1,200 MEDLEY RELAY,Eloise Midgen,Hogwarts,Hogwarts,2019-12-15,00:00:00,DQ,Castelobruxo,Gryffindor,December,NA,0
1,200 MEDLEY RELAY,Ritchie Coote,Hogwarts,Hogwarts,2019-12-15,00:00:00,DQ,Castelobruxo,Gryffindor,December,NA,0
1,200 MEDLEY RELAY,Albus Dumbledore,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Gryffindor,October,NA,0
1,200 MEDLEY RELAY,Rubeus Hagrid,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Gryffindor,October,NA,0
1,200 MEDLEY RELAY,Oliver Wood,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Gryffindor,October,NA,0
1,200 MEDLEY RELAY,Marcus Flint,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Slytherin,October,NA,0
3,200 MEDLEY RELAY,James Potter,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Gryffindor,October,NA,0
3,200 MEDLEY RELAY,Lily Potter,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Gryffindor,October,NA,0
3,200 MEDLEY RELAY,Severus Snape,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Slytherin,October,NA,0
3,200 MEDLEY RELAY,Olive Hornby,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Gryffindor,October,NA,0
13,100 FLY,Madeline Cyr,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Hufflepuff,October,NA,0
15,100 FLY,Filius Flitwick,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Ravenclaw,October,NA,0
21,500 FREE,Narcissa Malfoy,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Slytherin,October,NA,0
21,200 FREE RELAY,Evan Rosier,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Slytherin,October,NA,0
21,200 FREE RELAY,Rodolphus Lestrange,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Slytherin,October,NA,0
21,200 FREE RELAY,Rabastan Lestrange,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Slytherin,October,NA,0
21,200 FREE RELAY,Miles Bletchley,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Slytherin,October,NA,0
23,200 FREE RELAY,Seamus Finnigan,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Gryffindor,October,NA,0
23,200 FREE RELAY,Hannah Abbott,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Hufflepuff,October,NA,0
23,200 FREE RELAY,Pansy Parkinson,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Slytherin,October,NA,0
23,200 FREE RELAY,Zacharias Smith,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Hufflepuff,October,NA,0
26,100 BACK,Dean Thomas,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Gryffindor,October,NA,0
27,100  BREAST,Millicent Bulstrode,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Slytherin,October,NA,0
29,100  BREAST,Ernie Macmillan,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Hufflepuff,October,NA,0
32,400 FREE RELAY,Jack Sloper,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Gryffindor,October,NA,0
32,400 FREE RELAY,Victoria Frobisher,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Gryffindor,October,NA,0
32,400 FREE RELAY,Geoffrey Hooper,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Gryffindor,October,NA,0
32,400 FREE RELAY,Andrew Kirke,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Gryffindor,October,NA,0
1,200 MEDLEY RELAY,Demelza Robins,Hogwarts,Hogwarts,2019-10-27,00:00:00,DQ,Beauxbatons,Gryffindor,October,NA,0
1,200 MEDLEY RELAY,Cormac McLaggen,Hogwarts,Hogwarts,2019-10-27,00:00:00,DQ,Beauxbatons,Gryffindor,October,NA,0
1,200 MEDLEY RELAY,Neville Longbottom,Hogwarts,Hogwarts,2019-10-27,00:00:00,DQ,Beauxbatons,Gryffindor,October,NA,0
1,200 MEDLEY RELAY,Ginny Weasley,Hogwarts,Hogwarts,2019-10-27,00:00:00,DQ,Beauxbatons,Gryffindor,October,NA,0
3,200 MEDLEY RELAY,Mary MacDonald,Hogwarts,Hogwarts,2019-10-27,00:00:00,DQ,Beauxbatons,Gryffindor,October,NA,0
3,200 MEDLEY RELAY,Penelope Clearwater,Hogwarts,Hogwarts,2019-10-27,00:00:00,DQ,Beauxbatons,Ravenclaw,October,NA,0
3,200 MEDLEY RELAY,Roger Davies,Hogwarts,Hogwarts,2019-10-27,00:00:00,DQ,Beauxbatons,Ravenclaw,October,NA,0
3,200 MEDLEY RELAY,Eddie Carmichael,Hogwarts,Hogwarts,2019-10-27,00:00:00,DQ,Beauxbatons,Ravenclaw,October,NA,0
9,200 IM,Kevin Entwhistle,Hogwarts,Hogwarts,2019-10-27,00:00:00,DQ,Beauxbatons,Ravenclaw,October,NA,0
13,100 FLY,Padma Patil,Hogwarts,Hogwarts,2019-10-27,00:00:00,DQ,Beauxbatons,Gryffindor,October,NA,0
15,100 FLY,Luna Lovegood,Hogwarts,Hogwarts,2019-10-27,00:00:00,DQ,Beauxbatons,Ravenclaw,October,NA,0
21,500 FREE,Justin Finch-Fletchley,Hogwarts,Hogwarts,2019-10-27,00:00:00,DQ,Beauxbatons,Hufflepuff,October,NA,0
23,200 FREE RELAY,Lilian Moon,Hogwarts,Hogwarts,2019-10-27,00:00:00,DQ,Beauxbatons,Hufflepuff,October,NA,0
23,200 FREE RELAY,Daphne Greengrass,Hogwarts,Hogwarts,2019-10-27,00:00:00,DQ,Beauxbatons,Slytherin,October,NA,0
23,200 FREE RELAY,Theodore Nott,Hogwarts,Hogwarts,2019-10-27,00:00:00,DQ,Beauxbatons,Slytherin,October,NA,0
23,200 FREE RELAY,Astoria Greengrass,Hogwarts,Hogwarts,2019-10-27,00:00:00,DQ,Beauxbatons,Slytherin,October,NA,0
26,100 BACK,Lucius Malfoy,Hogwarts,Hogwarts,2019-10-27,00:00:00,DQ,Beauxbatons,Slytherin,October,NA,0
30,400 FREE RELAY,Charlie Weasley,Hogwarts,Hogwarts,2019-10-27,00:00:00,DQ,Beauxbatons,Gryffindor,October,NA,0
30,400 FREE RELAY,Fred Weasley,Hogwarts,Hogwarts,2019-10-27,00:00:00,DQ,Beauxbatons,Gryffindor,October,NA,0
30,400 FREE RELAY,George Weasley,Hogwarts,Hogwarts,2019-10-27,00:00:00,DQ,Beauxbatons,Gryffindor,October,NA,0
30,400 FREE RELAY,Aberforth Dumbledore,Hogwarts,Hogwarts,2019-10-27,00:00:00,DQ,Beauxbatons,Gryffindor,October,NA,0
3,200 MEDLEY RELAY,Minerva McGonagall,Hogwarts,Ilvermorny,2019-11-10,00:00:00,DQ,Ilvermorny,Gryffindor,November,NA,0
3,200 MEDLEY RELAY,Remus Lupin,Hogwarts,Ilvermorny,2019-11-10,00:00:00,DQ,Ilvermorny,Gryffindor,November,NA,0
3,200 MEDLEY RELAY,Lee Jordan,Hogwarts,Ilvermorny,2019-11-10,00:00:00,DQ,Ilvermorny,Gryffindor,November,NA,0
3,200 MEDLEY RELAY,Alicia Spinnet,Hogwarts,Ilvermorny,2019-11-10,00:00:00,DQ,Ilvermorny,Gryffindor,November,NA,0
13,100 FLY,Narcissa Malfoy,Hogwarts,Ilvermorny,2019-11-10,00:00:00,DQ,Ilvermorny,Slytherin,November,NA,0
15,100 FLY,Rodolphus Lestrange,Hogwarts,Ilvermorny,2019-11-10,00:00:00,DQ,Ilvermorny,Slytherin,November,NA,0
21,500 FREE,Colin Creevey,Hogwarts,Ilvermorny,2019-11-10,00:00:00,DQ,Ilvermorny,Gryffindor,November,NA,0
21,200 FREE RELAY,Seamus Finnigan,Hogwarts,Ilvermorny,2019-11-10,00:00:00,DQ,Ilvermorny,Gryffindor,November,NA,0
21,200 FREE RELAY,Hannah Abbott,Hogwarts,Ilvermorny,2019-11-10,00:00:00,DQ,Ilvermorny,Hufflepuff,November,NA,0
21,200 FREE RELAY,Pansy Parkinson,Hogwarts,Ilvermorny,2019-11-10,00:00:00,DQ,Ilvermorny,Slytherin,November,NA,0
21,200 FREE RELAY,Zacharias Smith,Hogwarts,Ilvermorny,2019-11-10,00:00:00,DQ,Ilvermorny,Hufflepuff,November,NA,0
23,200 FREE RELAY,Terry Boot,Hogwarts,Ilvermorny,2019-11-10,00:00:00,DQ,Ilvermorny,Ravenclaw,November,NA,0
23,200 FREE RELAY,Ernie Macmillan,Hogwarts,Ilvermorny,2019-11-10,00:00:00,DQ,Ilvermorny,Hufflepuff,November,NA,0
23,200 FREE RELAY,Vincent Crabbe,Hogwarts,Ilvermorny,2019-11-10,00:00:00,DQ,Ilvermorny,Slytherin,November,NA,0
23,200 FREE RELAY,Gregory Goyle,Hogwarts,Ilvermorny,2019-11-10,00:00:00,DQ,Ilvermorny,Slytherin,November,NA,0
29,100  BREAST,Ritchie Coote,Hogwarts,Ilvermorny,2019-11-10,00:00:00,DQ,Ilvermorny,Gryffindor,November,NA,0
32,400 FREE RELAY,Romilda Vane,Hogwarts,Ilvermorny,2019-11-10,00:00:00,DQ,Ilvermorny,Gryffindor,November,NA,0
32,400 FREE RELAY,Natalie McDonald,Hogwarts,Ilvermorny,2019-11-10,00:00:00,DQ,Ilvermorny,Gryffindor,November,NA,0
32,400 FREE RELAY,Jimmy Peakes,Hogwarts,Ilvermorny,2019-11-10,00:00:00,DQ,Ilvermorny,Gryffindor,November,NA,0
32,400 FREE RELAY,Euan Abercrombie,Hogwarts,Ilvermorny,2019-11-10,00:00:00,DQ,Ilvermorny,Gryffindor,November,NA,0
1,200 MEDLEY RELAY,Mary MacDonald,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Gryffindor,December,NA,0
1,200 MEDLEY RELAY,Penelope Clearwater,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Ravenclaw,December,NA,0
1,200 MEDLEY RELAY,Roger Davies,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Ravenclaw,December,NA,0
1,200 MEDLEY RELAY,Eddie Carmichael,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Ravenclaw,December,NA,0
3,200 MEDLEY RELAY,Stephen Cornfoot,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Slytherin,December,NA,0
3,200 MEDLEY RELAY,Kevin Entwhistle,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Ravenclaw,December,NA,0
3,200 MEDLEY RELAY,Anthony Goldstein,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Ravenclaw,December,NA,0
3,200 MEDLEY RELAY,Su Li,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Ravenclaw,December,NA,0
6,200 FREE,Lisa Turpin,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Ravenclaw,December,NA,0
9,200 IM,Stewart Ackerley,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Ravenclaw,December,NA,0
13,100 FLY,Justin Finch-Fletchley,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Hufflepuff,December,NA,0
15,100 FLY,Megan Jones,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Hufflepuff,December,NA,0
21,500 FREE,Tracey Davis,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Slytherin,December,NA,0
21,200 FREE RELAY,Lilian Moon,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Hufflepuff,December,NA,0
21,200 FREE RELAY,Daphne Greengrass,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Slytherin,December,NA,0
21,200 FREE RELAY,Theodore Nott,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Slytherin,December,NA,0
21,200 FREE RELAY,Astoria Greengrass,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Slytherin,December,NA,0
23,200 FREE RELAY,Percy Weasley,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Gryffindor,December,NA,0
23,200 FREE RELAY,Bill Weasley,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Gryffindor,December,NA,0
23,200 FREE RELAY,Charlie Weasley,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Gryffindor,December,NA,0
23,200 FREE RELAY,Fred Weasley,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Gryffindor,December,NA,0
26,100 BACK,Albus Dumbledore,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Gryffindor,December,NA,0
29,100  BREAST,Marcus Flint,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Slytherin,December,NA,0
32,400 FREE RELAY,Moaning Myrtle,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Ravenclaw,December,NA,0
32,400 FREE RELAY,Bertha Jorkins,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Ravenclaw,December,NA,0
32,400 FREE RELAY,Sirius Black,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Gryffindor,December,NA,0
32,400 FREE RELAY,Peter Pettigrew,Hogwarts,Hogwarts,2019-12-08,00:00:00,DQ,Uagadou,Gryffindor,December,NA,0
1,200 MEDLEY RELAY,Minerva McGonagall,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Gryffindor,November,NA,0
1,200 MEDLEY RELAY,Remus Lupin,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Gryffindor,November,NA,0
1,200 MEDLEY RELAY,Lee Jordan,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Gryffindor,November,NA,0
1,200 MEDLEY RELAY,Alicia Spinnet,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Gryffindor,November,NA,0
3,200 MEDLEY RELAY,Nymphadora Tonks,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Hufflepuff,November,NA,0
3,200 MEDLEY RELAY,Horace Slughorn,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Slytherin,November,NA,0
3,200 MEDLEY RELAY,Phineas Nigellus Black,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Slytherin,November,NA,0
3,200 MEDLEY RELAY,Regulus Black,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Slytherin,November,NA,0
9,200 IM,Miles Bletchley,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Slytherin,November,NA,0
15,100 FLY,Hannah Abbott,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Hufflepuff,November,NA,0
19,500 FREE,Draco Malfoy,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Slytherin,November,NA,0
21,500 FREE,Millicent Bulstrode,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Slytherin,November,NA,0
21,200 FREE RELAY,Terry Boot,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Ravenclaw,November,NA,0
21,200 FREE RELAY,Ernie Macmillan,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Hufflepuff,November,NA,0
21,200 FREE RELAY,Vincent Crabbe,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Slytherin,November,NA,0
21,200 FREE RELAY,Gregory Goyle,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Slytherin,November,NA,0
23,200 FREE RELAY,Eloise Midgen,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Gryffindor,November,NA,0
23,200 FREE RELAY,Ritchie Coote,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Gryffindor,November,NA,0
23,200 FREE RELAY,Jack Sloper,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Gryffindor,November,NA,0
23,200 FREE RELAY,Victoria Frobisher,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Gryffindor,November,NA,0
30,400 FREE RELAY,Natalie McDonald,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Gryffindor,November,NA,0
30,400 FREE RELAY,Jimmy Peakes,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Gryffindor,November,NA,0
30,400 FREE RELAY,Euan Abercrombie,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Gryffindor,November,NA,0
32,400 FREE RELAY,Cho Chang,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Ravenclaw,November,NA,0
32,400 FREE RELAY,Marietta Edgecombe,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Ravenclaw,November,NA,0
32,400 FREE RELAY,Mandy Brocklehurst,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Ravenclaw,November,NA,0
32,400 FREE RELAY,Michael Corner,Hogwarts,Mahoutokoro,2019-11-17,00:00:00,DQ,Mahoutokoro,Ravenclaw,November,NA,0
1,200 MEDLEY RELAY,Stephen Cornfoot,Hogwarts,Hogwarts,2019-12-15,00:00:00,DQ,Castelobruxo,Slytherin,December,NA,0
1,200 MEDLEY RELAY,Kevin Entwhistle,Hogwarts,Hogwarts,2019-12-15,00:00:00,DQ,Castelobruxo,Ravenclaw,December,NA,0
1,200 MEDLEY RELAY,Anthony Goldstein,Hogwarts,Hogwarts,2019-12-15,00:00:00,DQ,Castelobruxo,Ravenclaw,December,NA,0
1,200 MEDLEY RELAY,Su Li,Hogwarts,Hogwarts,2019-12-15,00:00:00,DQ,Castelobruxo,Ravenclaw,December,NA,0
3,200 MEDLEY RELAY,Orla Quirke,Hogwarts,Hogwarts,2019-12-15,00:00:00,DQ,Castelobruxo,Ravenclaw,December,NA,0
3,200 MEDLEY RELAY,Stewart Ackerley,Hogwarts,Hogwarts,2019-12-15,00:00:00,DQ,Castelobruxo,Ravenclaw,December,NA,0
3,200 MEDLEY RELAY,Susan Bones,Hogwarts,Hogwarts,2019-12-15,00:00:00,DQ,Castelobruxo,Hufflepuff,December,NA,0
3,200 MEDLEY RELAY,Eleanor Branstone,Hogwarts,Hogwarts,2019-12-15,00:00:00,DQ,Castelobruxo,Hufflepuff,December,NA,0
13,100 FLY,Tracey Davis,Hogwarts,Hogwarts,2019-12-15,00:00:00,DQ,Castelobruxo,Slytherin,December,NA,0
15,100 FLY,Daphne Greengrass,Hogwarts,Hogwarts,2019-12-15,00:00:00,DQ,Castelobruxo,Slytherin,December,NA,0
19,500 FREE,Graham Pritchard,Hogwarts,Hogwarts,2019-12-15,00:00:00,DQ,Castelobruxo,Slytherin,December,NA,0
21,500 FREE,Tom Riddle,Hogwarts,Hogwarts,2019-12-15,00:00:00,DQ,Castelobruxo,Slytherin,December,NA,0
21,200 FREE RELAY,Percy Weasley,Hogwarts,Hogwarts,2019-12-15,00:00:00,DQ,Castelobruxo,Gryffindor,December,NA,0
21,200 FREE RELAY,Bill Weasley,Hogwarts,Hogwarts,2019-12-15,00:00:00,DQ,Castelobruxo,Gryffindor,December,NA,0
21,200 FREE RELAY,Charlie Weasley,Hogwarts,Hogwarts,2019-12-15,00:00:00,DQ,Castelobruxo,Gryffindor,December,NA,0
21,200 FREE RELAY,Fred Weasley,Hogwarts,Hogwarts,2019-12-15,00:00:00,DQ,Castelobruxo,Gryffindor,December,NA,0
